Reference,QTY,Value,Elecrow Part #,Arrow Part #,Mouser Part #,Description,Footprint,Datasheet
U5,1,MCP23S17,,MCP23S17-E/SS,MCP23S17-E/SS,SPI GPIO Expander,SSOP-28,http://datasheet.octopart.com/MCP23S17-E/SS-Microchip-datasheet-166052.pdf
,,,,,,,,
WiFi (OPTIONAL),,,,,,,,
C8,1,10uF,C15850,GRM21BR71A106KA73L,LMK212B7106KG-TD,X7R,0805(2012),http://datasheet.octopart.com/LMK212B7106KG-TD-Taiyo-Yuden-datasheet-8857305.pdf
C22,1,1uF,C28323,CL21B105KAFNNNE,CC0805ZRY5V7BB105,Y5V-X7R,0805(2012),http://datasheet.octopart.com/CC0805ZRY5V7BB105-Yageo-datasheet-68297955.pdf
R23,1,10k,C17414,RMCF0805FT10K0,RC0805FR-0710KL,1%,0805(2012),http://datasheet.octopart.com/RC0805FR-0710KL-Yageo-datasheet-8330313.pdf
L1;R25;R26,3,0R,C17477,RMCF0805ZT0R00,RC0805FR-070RL,0 ohm jumper,0805(2012),http://datasheet.octopart.com/RC0805FR-070RL-Yageo-datasheet-8330313.pdf
Q4,2,PMOS_GSD,4022023A,NTR2101PT1G,NTR2101PT1G,"P MOSFET (1=G,2=S,3=D)",SOT-23,http://datasheet.octopart.com/NTR2101PT1G-ON-Semiconductor-datasheet-162393.pdf
U4,1,RTL8188EUS,,,,USB WiFi Module,WiFi USB Module,https://www.aliexpress.com/item/1PCS-Low-power-WIFI-module-RTL8188EUS-chip-signal-receiving-module/32722318911.html
,,,,,,,,
Low Noise LDO (Optional),,,,,,,,
U7,1,LP5907-3,,LP5907MFX-3.0/NOPB,LP5907MFX-3.0/NOPB,Ultra Low Noise LDO for Audio Amp,SOT23-5,http://www.ti.com/lit/gpn/lp5907
C25;C26,2,1uF,C28323,CL21B105KAFNNNE,CC0805ZRY5V7BB105,Y5R/X7R,0805(2012),http://datasheet.octopart.com/CC0805ZRY5V7BB105-Yageo-datasheet-68297955.pdf
,,,,,,,,
Low Battery (Optional),,,,,,,,
U6,1,ADCMP354,,ADCMP354YKSZ,ADCMP354YKSZ,"Single Comparator, 0.6v reference",SC82,http://datasheet.octopart.com/ADCMP354YKSZ-Analog-Devices-datasheet-10619861.pdf
R24,1,24k,C17575,,,1%,0805(2012),
R27,1,5.1k,C27834,,,1%,0805(2012),
